,support,E1_rgb__s0_recall,E2_multispectral__s0_recall,delta_pp
Pasture,400,0.9675,0.9825,1.5000000000000013
HerbaceousVegetation,600,0.9883333333333333,0.995,0.666666666666671
River,500,0.986,0.988,0.20000000000000018
SeaLake,600,0.9983333333333333,1.0,0.16666666666667052
AnnualCrop,600,0.9716666666666667,0.9716666666666667,0.0
PermanentCrop,500,0.962,0.962,0.0
Residential,600,0.9916666666666667,0.9916666666666667,0.0
Highway,500,0.98,0.976,-0.40000000000000036
Industrial,500,0.994,0.988,-0.6000000000000005
Forest,600,1.0,0.9933333333333333,-0.666666666666671
