arm_base,fraction,acc_mean,acc_std,f1_mean,f1_std,n_seeds,acc_min,acc_max
E6_rgb,0.01,0.813888888888889,0.007962962962962969,0.805374100144972,0.011165057616939717,3,0.805,0.8203703703703704
E6_ms,0.01,0.7468518518518518,0.025098571106836682,0.728935291815993,0.02780452953105012,3,0.7246296296296296,0.774074074074074
E6_rgb,0.05,0.9333950617283951,0.0042323357324498415,0.9316392066743123,0.003758127329011076,3,0.9285185185185185,0.9361111111111111
E6_ms,0.05,0.918888888888889,0.006003542621276742,0.9158215747805388,0.006446730294398355,3,0.9124074074074074,0.9242592592592592
E6_rgb,0.1,0.9566666666666667,0.0019333900942427246,0.9554384197460117,0.002048261933890465,3,0.9544444444444444,0.957962962962963
E6_ms,0.1,0.9533950617283949,0.0024168854259817253,0.9517327575336662,0.002754153241082521,3,0.9514814814814815,0.9561111111111111
E6_ms,0.25,0.967716049382716,0.003544414128384112,0.9664092219462702,0.003575575832226442,3,0.9648148148148148,0.9716666666666667
E6_rgb,0.25,0.967037037037037,0.008988637851490103,0.9659555518073515,0.008883952812576697,3,0.957037037037037,0.9744444444444444
E3_indices,1.0,0.9869135802469136,0.000650348997089664,0.9865168003770487,0.0006118232061036624,3,0.9862962962962963,0.9875925925925926
E1_rgb,1.0,0.9841358024691358,0.001176083881682584,0.9835940132548142,0.0012519403170973664,3,0.9827777777777778,0.9848148148148148
E2_multispectral,1.0,0.9832716049382716,0.003960250600579076,0.9827219374840187,0.003979400812357499,3,0.9787037037037037,0.9857407407407407
E5b_ms_scratch,1.0,0.9816666666666667,,0.9808087056378992,,1,0.9816666666666667,0.9816666666666667
E7_ssl4eo_all,1.0,0.9716666666666667,,0.9705357075318106,,1,0.9716666666666667,0.9716666666666667
E5a_rgb_scratch,1.0,0.9653703703703703,,0.9641185352716267,,1,0.9653703703703703,0.9653703703703703
E7b_ssl4eo_rgb,1.0,0.9437037037037037,,0.9425219587438338,,1,0.9437037037037037,0.9437037037037037
C2_multispectral,1.0,0.9144444444444444,,0.9108805235652391,,1,0.9144444444444444,0.9144444444444444
C1_rgb,1.0,0.7927777777777778,,0.7846947837897751,,1,0.7927777777777778,0.7927777777777778
